index,author,location,date,headline,review_body,review_rating,num_like,language,itemName
0,Mrs Satisfied,unknown,2022-06-05T14:45:52.000Z,Delighted,"We were booked into the Swn Y Mor hotel in Llandudno and the  booking was easy.  The hotel was absolutely superb from the moment we stepped foot inside there was a very warm welcome, It was spotlessly clean and the meals were great.  Everything was so fresh and tasty.  We would recommend this hotel without hesitation.  Nothing was too much trouble to make our stay enjoyable.",5,0,en,Bookingstar2345
1,Ülle-Linda Talts,unknown,2022-06-05T11:11:56.000Z,Dont book flight tickets,"Never book flight tickets through booking.com unless you are completely sure of your flight and it seems a very good deal compared to directly from the flight company. For example, even though the chosen airlines has no fee for rebooking the tickets, booking.com takes 80 EUR for the same service (after over a week of daily calls to customer service). The customer service people are very nice and polite nevertheless :)",2,0,en,Bookingstar2345
2,John DLR,unknown,2022-06-05T07:02:43.000Z,Amazing customer service!,"Five stars for the amazing customer service via 24/7 contact support. I was helped by Laurence and Sherry, they were so patient and also very proactive in thinking of solutions to my enquiry. Laurence listened to my enquiry so well and then transferred me to Sherry - the handover in between was so good I didn't even have to repeat my enquiry at all. I am so impressed!",5,0,en,Bookingstar2345
3,Cosmin Jeler,unknown,2022-06-04T07:39:16.000Z,Booking disrupted the travel industry…,Booking disrupted the travel industry bringing only advantages for the end users. No more cons from some of the hotels and being able to book anything from anywhere with a few taps is priceles. I unfortunatelly see people giving reviews only when they have bad experiences. I had none so far and hope this won’t change as I heard some friends having issues.,5,0,en,Bookingstar2345
4,Colin,unknown,2022-06-03T23:00:48.000Z,Due Fratelli New Bigginon Sea,"Due Fratelli New Bigginon Sea, Northumbria We have just had the most fantastic experience and delightful service from Lucy dark haired and Charlotte the Blonde lass, our booking was at 8, the latter has the most fantastic customer related service, with her fabulous personality creating the most friendly welcoming ambience. My wife had a gamberetti risotto dish, whilst I took advantage of a calzone. The portions not too much or too little, the sauce where appropriate a delicious and delightful accompaniment to the dish. Lucy suggestion to an appropriate wine, matched the meal perfectly.Fantastic place, ambiance, decor, thoughtful put together. Thoroughly recommend this to anyone",5,0,en,Bookingstar2345
5,Ellie S,unknown,2022-06-03T16:58:39.000Z,Used to be better,"Customer service has gone downhill since 202-ish. Used to get high quality and reliable service, but now it seems mostly automated and lazy. Things don’t usually go wrong but when they do it’s nearly impossible to get a proper resolution.",3,0,en,Bookingstar2345
6,julie “RedAndGoldWeb” Wallis,unknown,2022-06-03T10:57:58.000Z,Left without a bed with 2 children.,"I had been using booking.com for many years, until this weekend. I was in london for the jubilee celebrations with my husband and two grandchildren for two nights.Our first night was perfect. Sadly the apartment for the second night (different location) was cancelled by our host (I presume he had forgot to raise his price enough for the jubilee weekend) and booking.com offered us a very poorly rated apartment, outside of central london which would have meant we would have struggled to get to the Mall early. The substitute apartment wanted £700+ ‘security deposit’ and all the reviews were saying it was a scam and they struggled to get their deposits back.Absolutely disgusting to be abandoned several hundred miles from home with two small, tired children when london is at its busiest. Especially bad when booking.com didn’t even contact me to begin with, they just gave a refund. I struggled with the representative as English was not her first language and her accent made her impossible to understand. She couldn’t seem to comprehend that a refund was not what we needed, we needed another room.The only reason we found out our apartment was cancelled was because I phoned the place to say we were on our way as the children were tired. I was also told I could not have a refund even though I had already received one, as it was non refundable. I removed my debit card details from booking.com now so they will not be getting paid for the substitute room. But I’m still out of pocket and will be forever furious that booking.com thought it was ok to just abandon a family. I used to recommend them, now my advice would be do not book through booking.com because if your host cancels then booking.com will happily refund you and abandon you. I was mistaken in thinking they had some responsibility to find you a suitable alternative.I do realise london was busy, the majority of hotels were booked but…booking.com should have done more to help.",2,1,en,Bookingstar2345
7,Daniela Argandona Lowe,unknown,2022-06-01T16:06:00.000Z,Always a good experience.,"I don't have any complaints with Booking.comIt's been a couple of years where we haven't travelled, due to Covid, but, usually my first place to look for properties is Booking. I want to say that even one time, in Switzerland, the place was CLOSED!!!Ouch we were stranded. Booking replied in a very proper manner, but when we go a solution from their part, we had already got set in another hotel which ended to be a wonderful experience. I always double check with hotels, or houses, to book, write letters to the owners. If you get a bad location or something is not as expected, it might the owner by himself who didn't say the truth.",5,0,en,Bookingstar2345
8,Saeed,unknown,2022-06-01T12:37:26.000Z,Best hotel booking portal,Best hotel booking portalCompetitive prices and one of the best loyalty programs!,5,0,en,Bookingstar2345
9,Inx,unknown,2022-05-31T07:06:33.000Z,"Car rental, avoid if possible.",Tried to shorten 27 days car rental to 25 days due to deposit holding policy from car rental company which were disclosed at pickup. Booking.com will allow you to ONLY extend.,2,0,en,Bookingstar2345
